nl,en
ideeën,ideas
korte,short
gelaten,left
sean,sean
duitse,German
vrijdag,Friday
opstaan,rise
kunst,art
sterke,strong
afscheid,goodbye
menselijke,human
minister,minister
clark,clark
coach,coach
verboden,forbidden
kelder,cellar
gezelschap,party
bijvoorbeeld,for instance
achtergelaten,abandoned
duur,expensive
compleet,complete
to,to
eng,spooky
toeval,coincidence
snapt,understands
hiervan,hereof
miljoenen,millions
simon,simon
jerry,Jerry
war,confused
melk,milk
kelly,kelly
lui,lazy
genieten,to enjoy
aannemen,take
uitstekend,excellent
tegenover,opposite
dichterbij,closer
chicago,chicago
kocht,bought
stuurt,sends
volle,full
schijnt,seems
lenen,to borrow
moed,courage
alice,alice
vergissing,mistake
patiënten,patients
toon,tone
normale,normal
broeder,brother
kaarten,Cards
films,movies
reizen,to travel
ruim,spacious
herinneringen,memories
gedachte,thought
saai,boring
joey,Joey
roken,smoking
truck,truck
gaaf,whole
tegenwoordig,nowadays
kwestie,matter
zette,put
opzij,aside
gaande,going on
omgeving,surroundings
kip,chicken
verstopt,constipated
leerde,learned
vanochtend,this morning
kast,closet
officieel,officially
aanbod,offer
sms,text message
vernietigd,destroyed
verliest,loses
menselijk,human
contract,contract
lady,lady
mooiste,most beautiful
flink,lot
majesteit,majesty
cia,C.I.A
carl,carl
sukkel,softy
stopte,stopped
haalde,took
verdiend,earned
genoegen,pleasure
senator,senator
buren,neighbors
alan,alan
internet,internet
vloer,floor
zwemmen,swimming
taylor,taylor
bedoeld,intended
opgesloten,locked up
ontslag,dismissal
bekijk,view
borst,chest
schreeuwen,shout
bevalt,like
hoger,higher
blanke,White person
redenen,reasons
harder,mullet
ed,ed
ontvoerd,kidnapped
vasthouden,to hold
dave,dave
lucy,lucy
behandelen,to treat
berg,mountain
noorden,north
opgeven,give up
bepaald,determined
spelletje,game
maatje,Buddy
daardoor,thereby
omstandigheden,circumstances
opgelost,solved
heus,really
koken,Cook
vingerafdrukken,fingerprints
trut,bitch
eenvoudig,simple
hiervoor,for this
stukken,pieces
tent,tent
pauze,pause
raden,to guess
roepen,call
leugenaar,liar
bek,beak
vervangen,to replace
alarm,alarm
interesse,interest
talent,talent
bereikt,reached
amerikanen,americans
kanker,cancer
ted,ted
aangezien,because
beslissen,decide
des,des
rose,rose
cadeau,gift
mexico,Mexico
kerst,Christmas
louis,louis
invloed,influence
geheugen,memory
station,station
doorheen,through
vogel,bird
verantwoordelijkheid,responsibility
rome,Rome
diner,dinner
besluit,decision
vlug,quickly
deuren,doors
woonde,lived
west,west
huh,huh
verstand,wit
moeilijke,difficult
juffrouw,miss
bescherming,protection
quality,quality
stilte,Silence
bak,bin
papier,paper
erom,around
volledige,full
zojuist,just now
kilo,kilo
chuck,chuck
vormen,to shape
vaarwel,farewell
storm,storm
hoed,hat
leugen,lie
ambulance,ambulance
opgenomen,included
beslist,decided
pizza,Pizza
verdween,disappeared
ontdekken,to discover
eenheid,unit
verzoek,request
overtuigen,convince
militaire,military
kogels,bullets
toegeven,to admit
smith,smith
gedronken,drunk
high,high
quantity,quantity
gekeken,looked
phil,phil
cent,cent
punten,points
reet,crack
garage,garage
vrees,fear
big,piglet
kluis,safe
slaapkamer,bedroom
vandoor,away
wit,white
bezoeken,attend
politiek,politics
mogelijkheid,possibility
vertrok,departed
jackson,jackson
verdomd,damned
vervelend,annoying
vs,USA
rekenen,to calculate
klap,blow
aanbieden,to offer
abby,abby
streek,region
zaterdag,Saturday
uwe,yours
zicht,view
jones,jones
elf,eleven
gewend,accustomed
reactie,reaction
jazeker,hell yes
blauw,blue
herken,recognize
verbonden,connected
reken,accounting
schoonheid,beauty
ho,ho
hank,hank
klus,job
verandering,change
vermoordt,killing
accepteren,accept
biertje,beer
roger,roger
helen,heal
gebouwd,built
aankomen,arrive
trok,drew
larry,larry
verhuizen,moving away
waarde,value
troep,gang
kust,coast
graf,grave
dans,dance
verdediging,defense
bleek,pale
taal,language
grotere,more
dier,animal
aanklacht,indictment
overheid,government
wed,wed
lossen,unload
huizen,houses
uiteraard,naturally
gerust,safe
manager,manager
verdedigen,to defend
valse,false
lieten,showed
westen,West
amper,barely
bekeken,Viewed
job,Job
maakten,made
niveau,level
binnenkomen,enter
poging,attempt
behandeld,treated
overtuigd,convinced
gewacht,waited
stroom,flow
wetenschap,science
momenteel,currently
wauw,Wow
liedje,tune
vals,false
vincent,vincent
onderzocht,examined
duurde,took
lily,Lily
josh,josh
keel,throat
schepen,ships
gouden,golden
blind,blind
achterlaten,leave behind
gevangene,prisoner
robin,robin
voordeel,benefit
gevangenen,prisoners
eieren,Eggs
verbrand,burnt
geduld,patience
eeuw,century
europa,Europe
gescheiden,divorced
snelheid,speed
aardige,nice
gary,gary
rotzooi,shit
heette,was called
brak,brackish
lichamen,bodies
bidden,pray
natuur,nature
maggie,maggie
wijs,wise
buik,belly
vinger,finger
king,king
gespeeld,played
feiten,facts
virus,virus
ha,ha
jeff,jeff
plus,plus
groene,green
bomen,trees
personeel,staff
patrick,patrick
karen,karen
pakt,arrested
plekken,sites
commissaris,Commissioner
sara,sara
zuiden,south
rechten,right
veranderde,changed
stof,dust
badkamer,bathroom
leugens,lies
zondag,Sunday
erheen,there
smaak,taste
aanwezig,present
leraar,teacher
maandag,Monday
verliet,left
leefde,lived
it,it
pakte,took
franse,french
bergen,mountains
duitsers,Germans
woede,fury
studeren,to study
sliep,slept
kleding,clothing
stonden,stood
troepen,troops
eindigen,end
feite,actually
hemelsnaam,heaven's sake
groeien,to grow
dean,dean
piloot,pilot
geesten,spirits
controleer,check
verslag,report
ex,ex
julia,julia
heks,witch
daarbij,thereby
waarschuwen,warn
julie,julie
victor,Victor
jenny,Jenny
melden,report
elizabeth,elizabeth
oceaan,ocean
gas,gas
goden,gods
mogelijke,potential
voorlopig,for the time being
verslagen,defeated
gepland,planned
verdacht,suspect
opgepakt,arrested
susan,susan
privé,privately
voren,forward
stan,stan
knappe,clever
koffer,Suitcase
zonde,sin
naakt,nude
neen,no
plegen,commit
excuus,excuse
verrast,surprised
dienen,serve
graden,degrees
ongelofelijk,unbelievable
haten,hate
ervandoor,off
opgewonden,agitated
sterf,death
dubbele,double
tim,tim
boerderij,farm
rijke,rich
morgan,morgan
bord,plate
honderden,hundreds
klootzakken,motherfuckers
herstellen,to recover
schrijft,writes
wc,WC
ernaar,it
lord,Lord
besloot,decided
behandeling,therapy
morgenochtend,tomorrow morning
doc,doc
orders,orders
tong,tongue
hitler,hitler
vanmiddag,afternoon
redt,saves
ruil,exchange
nathan,nathan
verklaren,to declare
lieg,lie
kim,Kim
sync,sync
leert,learn
tegelijk,together
marine,navy
champagne,Champagne
liefste,Dear
genade,grace
chauffeur,driver
wensen,to wish
verdien,earn
qoq,qoq
godverdomme,Goddamnit
eenzaam,lonely
wegens,due to
voorstel,proposal
gouverneur,governor
graven,dig
terrein,grounds
ontmoeting,meeting
telt,counts
handel,trade
zwijgen,keep silent
ademen,to breathe
koos,chose
um,um
horloge,watch
staten,states
ronde,round
daarover,about that
verloofde,fiancee
pot,pot
donkere,dark
afspraakje,date
pensioen,retirement
vrolijk,cheerful
poort,gate
hoefde,did
gunst,favor
artikel,article
overval,raid
belangrijker,more important
netjes,decently
knieën,knees
slimme,clever
aanraken,to touch
reputatie,reputation
ontdekte,discovered
ruik,smell
brood,bread
russische,russian
vogels,birds
partij,party
verstoppen,to hide
komst,coming
verdieping,floor
dief,thief
voorbeeld,example
geur,odor
dichter,poet
vliegveld,airport
markt,market
burgers,citizens
centrum,Centre
volgde,follow the
ontzettend,enormous
beer,bear
alibi,alibi
terugkomt,returns
brieven,letters
minstens,at least
whisky,whiskey
onschuldige,innocent
stenen,stone
universum,universe
gezondheid,health
daarheen,thither
wijze,way
britse,british
b,b
komende,upcoming
kerstmis,Christmas
haven,port
huur,rent
plicht,duty
assistent,assistant
omgaan,To hang out
ross,ross
fan,fan
materiaal,material
laura,laura
hartelijk,warmly
doug,doug
charlotte,Charlotte
online,online
onszelf,ourselves
stelde,suggested
shirt,shirt
sally,Sally
bevelen,command
vergat,forgot
priester,priest
meent,believes
zelfde,same
dossiers,files
proost,cheers
kloppen,to knock
gekend,known
vierde,fourth
kaas,cheese
opzoeken,to look up
schrikken,shy
amanda,amanda
gepleegd,committed
daarin,in there
optreden,performance
april,April
veilige,secure
marcus,marcus
beroep,profession
black,black
motief,motive
molly,molly
betaalde,paid
lucas,lucas
verderop,beyond
jacht,hunt
scheiden,to separate
jeugd,youth
lokale,local
engel,angel
kerstman,Santa Claus
doei,bye
toestand,status
technologie,technology
gebaseerd,based
lichten,lights
mars,Mars
bovendien,moreover
cijfers,Numbers
bewaren,save
belofte,promise
vertaald,translated
teleurgesteld,disappointed
vriendschap,friendship
medelijden,pity
fred,fred
chloe,chloe
ramp,disaster
vegas,vegas
ren,acids
verzet,opposition
richten,to target
steunen,support
wolf,Wolf
advocaten,Advocates
dwars,transverse
oefenen,to practise
bezwaar,objection
bevestigen,confirm
wijzen,point
china,China
nachtmerrie,nightmare
jackie,jackie
groen,green
minst,least
eindigt,ends
verkoopt,sells
zwembad,swimming pool
verdriet,grief
winter,winter
afgesloten,locked
geheel,whole
min,minus
verwijderd,deleted
donder,Thunder
mobiel,mobile
monsters,samples
okee,okay
interesseert,interests
leden,membership
gooide,threw
muren,walls
koers,course
nat,wet
bekende,known
waarheen,where to
hierin,in here
uniform,uniform
voorbereid,prepared
wild,wild
regen,rain
drinkt,drinking
studenten,students
bepalen,determine
briefje,bill
fuck,fuck
berichten,messages
gok,gambling
voldoende,Enough
samenwerken,collaborate
lekkere,delicious
ruiken,to smell
klok,clock
duitsland,Germany
gemeenschap,community
redelijk,reasonable
wezens,creatures
echter,however
getekend,signed
overwinning,victory
rebecca,rebecca
klonk,sounded
onderwerp,topic
verklaart,states
olie,oil
bewust,conscious
bemanning,crew
tellen,count
degenen,the ones
overkomt,befalls
vertrouwt,trusts
hang,hanging
tyler,tyler
schoten,shots
seconde,second
geldt,apply
delict,offense
gibbs,gibbs
groeten,regards
maag,stomach
beantwoorden,reply
allerlei,all kinds of
wandelen,to walk
howard,howard
waarschuwing,warning
gewaarschuwd,warned
begreep,understood
johnson,johnson
kist,chest
barry,barry
middelbare,secondary
jay,jay
michelle,michelle
training,training
texas,Texas
pik,cock
race,race
geliefde,lover
nationale,national
gedeelte,section
wassen,Wash
verwachtte,expected
scheelt,saves
ophangen,hang up
douche,shower
greg,greg
reageren,react
zwijg,be silent
alcohol,alcohol
stoor,jamming
verdiende,earned
gave,gift
sprong,leap
bewakers,guards
aangenomen,adopted
model,fashion model
data,dates
oor,ear
hi,Hi
jeetje,Oh dear
spelletjes,games
noch,neither
wedden,bet
meedoen,participate
winst,profit
gereed,ready
middag,afternoon
lijf,body
oliver,oliver
donna,donna
onthouden,to remember
daarop,thereon
identiteit,identity
crimineel,criminal
openbaar,public
verpesten,screw it up
moordenaars,killers
bewaker,guard
andrew,andrew
beloofde,promised
gods,god
zowel,both
media,media
angela,angela
letten,watching
breekt,breaks
sprake,there
kansen,opportunities
explosie,explosion
indrukwekkend,impressive
plotseling,suddenly
schutter,shooter
hekel,dislike
fort,fort
ingewikkeld,complicated
lied,song
vriendinnen,girlfriends
besef,awareness
spiegel,mirror
gevochten,fought
lege,empty
onlangs,recently
stand,position
woestijn,desert
gedwongen,forced
russen,Russians
jamie,jamie
idioten,idiots
gezellig,cozy
lunchen,having lunch
hielden,kept
cooper,cooper
seizoen,season
resultaten,Results
pagina,page
frans,French
vlieg,fly
bril,glasses
spannend,exciting
doodt,killing
mensheid,mankind
botten,bones
busje,van
herinnering,reminder
olivia,olivia
kaartje,card
pop,doll
verschuldigd,due
gesteld,stated
hee,hee
tweeën,two of
zielig,pathetic
my,my
terry,terry
parker,parker
hal,hall
letterlijk,literally
banden,ties
route,route
vliegt,fly
walgelijk,disgusting
gegooid,thrown
smerig,filthy
verwijderen,remove
uitzien,look
beweegt,moves
hierover,about
mannetje,male
genie,genius
burger,civilian
bedreiging,threat
lef,courage
wilson,wilson
vlakbij,nearby
gevolgen,effects
gedag,goodbye
ontslaan,fire
nummers,numbers
verzamelen,collect
jongeman,youth
huiswerk,Homework
house,house
koude,cold
verontschuldigen,excuse
gevaarlijke,dangerous
lelijk,ugly
verbaasd,suprised
vuil,dirt
ondertussen,meanwhile
gelukkige,happy
leest,is reading
at,at
cole,cole
verplaatsen,move
starten,start
gerechtigheid,righteousness
onderdeel,part
wijst,points
rick,rick
ls,ls
afrika,Africa
scheiding,separation
lewis,lewis
linda,linda
nate,nate
welnee,Nay
partners,partners
hoogste,highest
snijden,to cut
soorten,types
touw,rope
zijde,silk
ellende,misery
harvey,harvey
nep,fake
joden,Jews
klagen,complain
zacht,soft
aap,monkey
won,won
dringend,urgently
teruggaan,going back
eisen,requirements
veroordeeld,convicted
neerschieten,shoot down
vloek,curse
stijl,style
smeek,implore
rand,edge
verrader,traitor
tel,count
romantisch,romantic
zorgde,took care
gordon,gordon
stelletje,bunch
hersens,brain
verdwijnt,disappears
middelen,resources
roept,calling
bruce,bruce
leveren,to deliver
dekking,cover
onthoud,keep in mind
hof,court
toby,Toby
politieke,political
cheque,check
schaduw,shadow
kasteel,castle
lagen,strata
dertig,thirty
branden,to burn
leidde,lead
resultaat,result
catherine,catherine
aangekomen,arrived
constant,constant
hannah,hannah
waarbij,at which
wanhopig,in despair
verkracht,raped
jessica,jessica
winnaar,winner
waardeloos,worthless
merken,brands
californië,California
brown,brown
doctor,doctor
ongerust,anxious
snelle,fast
slet,slut
fiets,bicycle
vocht,moisture
opruimen,tidy
chief,chief
ethan,ethan
daaraan,thereto
gsm,mobile
gewild,in demand
overeenkomst,agreement
spring,jump
schilderij,painting
middernacht,midnight
brein,brain
richt,focuses
onbekende,unknown
vervolgens,thereafter
iemands,someone
fabriek,factory
geschikt,fit
ontspannen,relax
anne,anne
win,win
broertje,baby brother
gelopen,run
davis,davis
apparaat,device
storen,to disturb
handelen,to trade
dwingen,force
optie,option
slang,snake
amen,Amen
student,student
hoorden,heard
opdagen,turn up
volkomen,completely
makker,pal
katie,katie
duisternis,darkness
briljant,brilliant
schouder,shoulder
miller,miller
godzijdank,thank God
lacht,laughs
dwaas,silly
wachtte,waited
mac,mac
verdrietig,sad
bereik,reach
gozer,geezer
gezorgd,provided
spion,spy
roy,roy
wond,wound
campagne,campaign
boston,Boston
mogelijkheden,opportunities
dinsdag,Tuesday
lever,liver
avonds,evening
weggegaan,gone away
verbinding,link
dek,deck
meegaan,come
nieuwsgierig,curious
helder,bright
omlaag,down
borsten,breasts
oosten,East
namelijk,namely
schande,shame
ondertiteling,subtitle
overeen,match
kanten,lace
warme,hot
gewicht,weight
bedrijven,businesses
derek,the stretch
stront,shit
vet,Fat
geschenk,gift
negeren,ignore
goeds,good
justitie,justice
sneeuw,snow
aanklager,prosecutor
zand,sand
sport,sport
besefte,realized
versie,version
minste,least
hartaanval,heart attack
bo,boo
c,c
as,ash
illegaal,illegally
vertrouwde,trusted
voort,on
varken,pig
prettig,nice
jacob,jacob
moge,may
donderdag,Thursday
straten,streets
hout,wood
bovenop,on top of
etentje,dinner
sindsdien,since
vaste,fixed
moeilijker,more difficult
merk,Brand
verdachten,suspects
durft,dare
opgegeven,gave up
weggaat,leave
truc,trick
frankie,frankie
el,el
wegen,weigh
planten,plants
pen,pen
beth,beth
aanwezigheid,presence
stemming,mood
bravo,Bravo
overleefd,survived
gedurende,during
magische,magic
levende,living
therapie,therapy
geplaatst,situated
grijp,grab
gericht,directed
voorafging,preceded
duwen,Push
tip,tip
sociale,social
euh,uh
opeten,eat
daarbinnen,inside
beloning,reward
dapper,brave
concentreren,to concentrate
heleboel,lot
beschikbaar,available
seksuele,sexual
bezorgen,to deliver
koopt,buy
hek,fence
lois,lois
bied,bid
huidige,current
on,on
achterna,chase
verenigde,united
golf,golf
café,Cafe
suiker,sugar
lippen,lips
zuurstof,oxygen
gevoelig,sensitive
herhaal,repeat
hmm,hmm
gras,grass
gekwetst,hurt
smerige,filthy
filmen,to film
daisy,daisy
tunnel,tunnel
rock,rock
verstandig,wisely
organisatie,organization
voorgoed,permanently
families,families
betwijfel,doubt
meekomen,come along
geruchten,rumors
angeles,angeles
redde,saved
doorbrengen,Spending time
puur,pure
stak,lit
diamanten,diamond
lading,load
miami,miami
bevestigd,confirmed
stinkt,smelly
inclusief,including
oudere,elderly
verraad,treason
interview,interview
middel,means
geboorte,birth
nicht,niece
momenten,moments
podium,stage
effect,effect
vijftien,fifteen
houding,attitude
veroorzaken,cause
verpleegster,nurse
lig,lie
bibliotheek,library
schrijver,writer
beloven,promise
identificeren,identify
hut,cabin
goedenacht,good night
volgend,next
gecontroleerd,verified
beroemd,famous
masker,mask
scherp,sharply
sophie,sophie
trainen,train
kamers,Rooms
quinn,quinn
kampioen,champion
graaf,earl
oscar,oscar
oproep,call
carrie,carrie
achterin,in the back
beters,better
veroorloven,to afford
helikopter,helicopter
zekere,some
gelegd,laid
miljard,billion
vies,dirty
geintje,wisecrack
uitgaan,going out
weleens,sometimes
bruid,bride
voer,forage
praatte,talked
marshall,marshall
aanwijzingen,Clues
nina,nina
rusland,Russia
eva,eva
benzine,gasoline
wegging,leaving
keizer,emperor
vrouwelijke,female
marie,marie
vince,vince
voeden,to feed
studio,studio
gif,poison
edward,edward
uitnodiging,invitation
elena,elena
grant,grant
probeerden,tried
datje,that you
ketting,chain
schitterend,splendid
velen,many
zekerheid,security
kliniek,clinic
dylan,dylan
museum,museum
handtekening,signature
bevrijden,liberate
ramen,Windows
russell,russell
rechtszaak,lawsuit
dokters,doctors
rijd,ride
kopie,copy
rende,rushed
vampier,vampire
personen,people
tieten,tits
expert,expert
jess,Jess
feesten,celebrate
white,white
zegen,blessing
travis,travis
rommel,mess
mijl,mile
daarbuiten,outside
opleiding,education
bedenk,remember
jordan,jordan
carlos,carlos
live,live
beschermd,protected
roze,pink
legt,explains
walker,walker
flauw,lame
gewoonlijk,usually
telefoontjes,phone calls
pech,bad luck
grootvader,grandfather
junior,junior
voorzitter,chairman
miste,missed
owen,owen
bodem,bottom
gevoeld,felt
repareren,repair
bewusteloos,unconscious
bommen,bombs
zusje,sister
opname,recording
pols,wrist
herkennen,recognize
hartslag,heartbeat
hete,hot
behoefte,need
oorzaak,cause
kiest,choose
hill,hill
brave,brave
centrale,exchange
dochters,daughters
bewezen,proven
danken,thank
gestoken,stabbed
rat,rat
koekjes,cookies
weglopen,walk away
leuker,fun
medisch,medical
kopje,Cup
gelegenheid,opportunity
zijne,his
grenzen,border
betrapt,got caught
achteren,rear
bijeenkomst,meeting
uitdaging,challenge
onderhandelen,negotiate
overvallen,raid
wayne,wayne
triest,sad
slagen,to succeed
kruis,cross
technisch,technical
gooit,throws
fantastische,great
beschermt,protects
beantwoord,answered
positief,positive
vieze,dirty
bewijst,proves
brigadier,brigadier
ogenblik,moment
kalmeer,calm down
hoogheid,highness
droog,dry
admiraal,admiral
schaam,shame
excuseren,excuse
vroegen,asked
kleed,carpet
leid,lead
blake,blake
maaltijd,meal
gereden,driven
interessante,interesting
chinese,Chinese
vuren,fire
gezichten,faces
ooh,ooh
fantasie,fantasy
aanpakken,tackle
namens,On behalf of
jeremy,Jeremy
afhandelen,settle
stress,stress
waarschuw,warning
bijbel,Bible
studie,study
kenny,kenny
ofwel,or
kaartjes,tickets
schema,scheme
gelul,bullshit
vers,fresh
biedt,offers
aangeraakt,touched
besteld,ordered
overnemen,to take over
waarderen,appreciate
tranen,weeping
ontspan,relax
geopend,opened
documenten,documents
mammie,mommy
groots,grand
eventjes,momentarily
boeten,pay
staart,tail
prettige,pleasant
ondervragen,question
schedel,skull
tijdelijk,temporarily
overleed,died
klinken,sound
demon,demon
morgenavond,tomorrow evening
vergist,mistaken
aanslag,touch
florida,Florida
proef,test
steven,prow
ontstaan,originate
kennelijk,apparent
beslissingen,decisions
sammy,sammy
vóór,in front of
smaakt,tastes
soep,soup
nul,zero
green,green
oordeel,judgment
bloeddruk,blood pressure
wegkomt,get away
hoofdpijn,headache
vijfde,fifth
brad,brad
penny,penny
hieruit,therefrom
terroristen,terrorists
rekeningen,accounts
pijnlijk,painful
fase,phase
blazen,blow
teef,female dog
jo,jo
bot,bone
ei,egg
mr.,mr.
beroemde,famous
chaos,chaos
verbaast,surprised
gedumpt,dumped
tekst,text
scène,scene
uitzicht,view
vooruitgang,progress
maagd,Virgin
mevr,Mrs
bijzondere,special
sex,sex
e-mail,e-mail
lafaard,coward
mei,May
dodelijk,deadly
ian,ian
carol,Carol
geleid,guided
bestellen,to order
plassen,to pee
opgegroeid,grown up
teddy,teddy
ontvoering,kidnapping
boze,angry
affaire,affair
kreng,carrion
verzinnen,invent
sigaret,cigarette
vat,barrel
diane,diane
dennis,dennis
verspreiden,to spread
vullen,to fill
vermogen,power
realiteit,reality
doodgaan,die
diegene,those
betekend,means
pakje,package
buitenlandse,foreign
telkens,every time
slechter,worse
verander,change
promotie,promotion
margaret,margaret
overstuur,upset
one,one
dominee,pastor
keuzes,choices
bekennen,confess
levert,supplies
williams,williams
verdwaald,strayed
federale,federal
kranten,newspapers
patroon,pattern
relaties,relationships
bedreigd,threatened
matthew,matthew
wetten,laws
herkent,recognizes
boodschappen,groceries
zenuwachtig,nervous
koninkrijk,kingdom
aanwijzing,designation
betty,betty
breek,breaking
chinees,Chinese
uitvoeren,to carry out
haatte,hated
vrachtwagen,truck
tank,tank
vanzelf,itself
francis,francis
schone,clean
beschadigd,damaged
marty,marty
realiseerde,realized
verbranden,to burn
e,e
klasse,class
riep,called out
onbekend,unknown
humor,Humour
theater,theater
koorts,fever
overheen,across
ingang,Entrance
stabiel,stable
riley,riley
openbare,public
dure,expensive
maya,Maya
noodgeval,emergency
reageert,responds
uitweg,exit
jennifer,jennifer
psychiater,psychiatrist
gedraagt,acts
datum,date
correct,right
gedraag,behave
nood,distress
wiet,weed
little,little
woning,house
caroline,caroline
betekende,meant
instructies,instructions
natuurlijke,natural
ali,ali
wonden,wound
afdrukken,print
netwerk,network
info,More
martha,martha
periode,period of time
uitziet,looks
meende,thought
doorlopen,run through
simpele,simple
achtergrond,background
bijzonders,special
broeders,brethren
dubbel,double
afgewezen,turned down
kerstfeest,Christmas
lou,lou
hartstikke,awfully
schuur,barn
veronderstel,suppose
emoties,emotions
achterkant,rear end
schudden,shake
beschuldigd,accused
kwetsen,hurt
negatief,negative
dick,Dick
engelse,English
arrestatie,arrest
communicatie,communication
vloog,flew
nachten,nights
uitmaken,break up
vermiste,missing
hierbij,herewith
hebbes,Got you
allang,a long time already
trappen,kick
langskomen,come
coma,coma
daad,deed
kut,cunt
knop,button
bevriend,friendly
geraken,get
malcolm,malcolm
creëren,to create
beslag,fittings
artsen,doctors
nancy,nancy
japan,Japan
logan,logan
beet,bite
doodsbang,terrified
bewaar,save
casino,casino
afschuwelijk,awful
diefstal,theft
legende,legend
joseph,joseph
grot,cave
proeven,taste
gesprekken,conversations
grijpen,grab
oppakken,picking up
terugtrekken,to withdraw
bart,bart
applaus,applause
zoenen,kiss
toren,tower
eigendom,property
verschrikkelijke,terrible
criminelen,criminals
bood,offered
verplicht,obligated
zieke,patient
beweert,claims
strafblad,criminal record
hollywood,Hollywood
voorbereiden,to prepare
vijftig,fifty
zone,zone
loslaten,letting go
casey,casey
connor,connor
portemonnee,wallet
audrey,audrey
longen,lungs
ingehuurd,hired
meegebracht,brought along
gebrek,lack
ruilen,exchange
mankeert,wrong
zwakke,weak
aantrekkelijk,attractive
verplaatst,moved
albert,albert
no,No.
uitgeschakeld,switched off
vliegtuigen,airplanes
spencer,spencer
tja,yeah
dronk,drink
riskeren,risk
weghalen,take away
passie,passion
kandidaat,candidate
smeerlap,pig
sigaretten,cigarettes
toont,shows
serie,series
status,status
voorzien,to provide
mooier,more beautiful
rit,ride
bescherm,protect
discussie,discussion
medicijn,medicine
booth,booth
rijbewijs,drivers license
miles,miles
televisie,television
meld,reporting
verzonnen,fictional
h,h
aangeboden,offered
ellen,ellen
ministerie,ministry
daden,actions
krankzinnig,insane
populair,popular
whoa,whoa
allison,allison
indianen,native Americans
verzekering,insurance
virginia,Virginia
koelkast,refrigerator
duistere,dark
pest,black Death
lemand,Someone
overgeven,throwing up
arresteer,arrest
nut,utility
stervende,dying
ondergoed,underwear
euro,euro
incident,incident
zing,zing
mijzelf,myself
homer,homer
commentaar,commentary
ervaren,to experience
