nl,en
doorzoeken,search
vak,field
vriendjes,boyfriends
dorst,thirst
koe,cow
tenslotte,and last but not least
vandaar,thence
jonger,younger
flinke,great
check,check
titel,title
privacy,privacy
heelal,universe
verspillen,waste
justin,justin
speelgoed,toys
bonnie,bonnie
dagboek,diary
voorwaarden,requirements
gemerkt,noticed
tape,tape
hol,hollow
bewustzijn,Awareness
evan,evan
aaron,Aaron
vlag,flag
werkten,worked
moderne,modern
rollen,roll
angel,sting
gespannen,strained
terugkeren,return
crisis,crisis
zoektocht,search
emotioneel,emotionally
overkant,other side
premier,Prime Minister
harris,harris
greep,grip
eenheden,units
beseft,recognizes
rechtstreeks,directly
love,love
weigeren,refuse
avontuur,adventure
lust,lust
tevoorschijn,forth
roman,novel
glimlach,smile
groeit,grows
ras,race
amerikaan,american
plat,flat
goedkoop,cheap
strak,tight
spanning,voltage
inbraak,burglary
karakter,character
opzet,design
lessen,classes
college,college
boy,boy
ernstige,serious
geweren,guns
island,island
todd,todd
verlegen,shy
toestaan,to allow
paspoort,passport
county,county
vleugels,wings
madame,madame
juni,June
snoep,candy
apart,separate
italië,Italy
oudste,eldest
liam,liam
uitschakelen,Switch off
voertuig,vehicle
kostte,took
september,September
ron,ron
jochie,laddie
link,link
puinhoop,mess
agenda,agenda
steekt,lights
nazi,Nazi
spraken,spoke
leonard,leonard
chirurg,surgeon
jee,jee
mochten,might
misdaden,crimes
brachten,brought
bekentenis,confession
laptop,Laptop
vergeleken,compared
diepe,deep
stukjes,pieces
robot,robot
nuttig,useful
uitslag,rash
zout,salt
ratten,rats
slimmer,smarter
afval,waste
murphy,murphy
wendy,wendy
gebeurtenissen,events
temperatuur,temperature
bemoei,difficult
ongelukkig,unhappy
bezocht,visited
financiële,financial
tijdstip,time of day
overste,chief
verbergt,hides
drukken,to press
snappen,understanding
knuffel,Hug
diensten,services
erdoor,through
betekenis,meaning
veiliger,safer
aard,nature
opgegeten,eaten
gevolg,result
moedig,courageous
teruggekomen,came back
eli,eli
paige,paige
loon,salary
frisse,fresh
daarboven,up there
herkende,recognized
lelijke,ugly
ruth,Ruth
woensdag,Wednesday
harold,harold
fortuin,fortune
nicole,nicole
vrijgelaten,released
ashley,ashley
journalist,journalist
vielen,fell
wennen,get used to
megan,megan
bleven,remained
ambassadeur,ambassador
acteur,actor
geslaagd,successful
hing,hing
computers,computers
francisco,francisco
schoonmaken,to clean
mickey,mickey
snelweg,highway
plastic,plastic
experiment,experiment
monica,monica
morgenvroeg,tomorrow
undercover,undercover
commando,command
gekleed,clad
star,rigid
gemak,ease
overleeft,survives
boss,boss
eerwaarde,Venerable
motel,motel
long,lung
tweeling,twin
draak,dragon
schakel,link
diana,Diana
stephen,stephen
favoriet,favorite
heten,call
officiële,official
legde,explained
zusters,sisters
kooi,cage
opgehangen,hung up
beheersen,command
demonen,demons
drankjes,drinks
wetenschappers,scientists
concert,concert
vermijden,avoid
irak,Iraq
katten,cats
kwetsbaar,vulnerable
kleuren,colors
raket,rocket ship
mitch,mitch
straffen,to punish
bestuur,administration
verloofd,engaged
zonden,sins
verspreid,Scattered
draaide,turned
heerlijke,delicious
mason,mason
india,india
augustus,August
cadeautje,gift
centimeter,centimeter
contant,in cash
testament,testament
meesten,most
juli,July
waanzin,frenzy
gedroomd,dreamed
handschoenen,gloves
zender,transmitter
wreed,cruel
pappa,daddy
eerlijke,fair
rotzak,scoundrel
jules,jules
mysterie,mystery
symbool,symbol
tess,tess
profiel,profile
opties,options
traditie,tradition
schulden,debts
hup,hup
waag,scales
go,go
massa,mass
gewonden,wounded
ontkennen,to deny
getrokken,drawn
bezet,occupied
opgevoed,raised
lincoln,lincoln
verkeer,traffic
knie,knee
bid,pray
verdwijn,disappearing
accepteer,accept
liz,liz
timing,timing
slechtste,worst
crane,crane
penis,penis
benieuwd,curious
steden,cities
aangeven,to indicate
uitkomen,Hatch
glazen,glass
hitte,heat
set,set
maling,grind
victoria,Victoria
wade,wade
ton,ton
mm,mm
chocolade,chocolate
bedrogen,cheated
brandstof,fuel
verwoest,waste
verf,paint
k,k
hector,Hector
munitie,ammunition
paleis,palace
werkelijkheid,reality
yo,yo
zoe,zoe
gewapend,armed
gekost,cost
nelson,Nelson
toespraak,speech
recept,recipe
helden,heroes
enthousiast,enthusiastic
scherm,screen
goedemiddag,good afternoon
gele,yellow
actief,active
politieagent,cop
kleiner,less
raymond,raymond
joch,kid
lokken,to lure
oefening,practice
harper,harper
road,road
varen,sail
kwart,quarter
commissie,Commission
stiekem,secretly
afsluiten,shut down
inpakken,packing up
bewaard,saved
neil,neil
winkelen,shop
beesten,beasts
vrijen,making out
techniek,Technic
brandt,lights
lane,lane
mobiele,mobile
luisterde,listened
interne,internal
toegestaan,Allowed
hall,hall
beleefd,polite
stanley,stanley
blok,block
zielen,souls
keith,keith
generatie,generation
verlangen,desire
jean,jean
revolutie,revolution
pastoor,pastor
drama,drama
maal,meal
laden,load
moeilijkheden,difficulties
bedrag,amount
aandelen,shares
bevallen,to give birth
willie,willie
schoft,withers
lawaai,noise
eeuwige,everlasting
uzelf,yourself
alicia,alicia
attentie,attention
plant,plant
staren,stare
christian,christian
konijn,rabbit
beroofd,robbed
zussen,sisters
huren,rent
misdrijf,crime
clay,clay
overlijden,passing away
doodgeschoten,shot
toekomstige,future
procedure,procedure
trouwde,married
douchen,shower
stierven,died
tina,tina
jongetje,boy
gokken,gamble
thanksgiving,thanksgiving
beweeg,move
duiken,to dive
shane,shane
kindje,baby
fruit,fruit
bevroren,frozen
erbuiten,out
sloot,ditch
steelt,steal
berlijn,berlin
grappen,jokes
vloot,fleet
uiterlijk,appearance
verhuisd,moved
spanje,Spain
carla,carla
norman,norman
doof,deaf
alexander,Alexander
mitchell,mitchell
terugbrengen,return
schamen,ashamed
machtige,mighty
all,all
tempel,Temple
walt,walt
volwassenen,adults
holly,holly
wetenschapper,scientist
weduwe,widow
kanaal,channel
gemeld,reported
watje,wimp
dient,should
speech,speech
goedendag,good day
versterking,strengthening
voorraad,stock
legaal,legal
bevat,contains
dollars,dollars
korporaal,corporal
overwegen,to consider
vee,cattle
metro,subway
afhankelijk,dependent
weigerde,refused
ricky,ricky
speler,player
gereedschap,tool
mcgee,mcgee
misbruik,abuse
besproken,discussed
aflevering,delivery
chip,chip
barbara,barbara
anthony,anthony
mobieltje,cellular phone
santa,santa
japanse,Japanese
reclame,advertisement
combinatie,combination
behouden,preserve
durven,to dare
gebouwen,buildings
goedmaken,make up
philip,philip
verkrachting,rape
jersey,Jersey
pure,pure
weggelopen,walked away
opgeblazen,blown up
getraind,trained
illegale,illegal
website,website
firma,firm
bloeden,bleed
schop,shovel
wiskunde,math
originele,original
ann,ann
verwondingen,injuries
nest,nest
kostuum,costume
hoofdinspecteur,Superintendent
meg,meg
standaard,standard
zochten,sought
stok,stick
blaas,bladder
gloria,gloria
batman,Batman
weigert,refuses
time,time
afspreken,arrange
hoofdkwartier,headquarters
heroïne,heroin
gus,gus
bossen,woods
julian,julian
verzeker,insurable
rex,rex
zenuwen,nerves
vermoeden,conjecture
noah,noah
jonathan,Jonathan
hoofdstuk,chapter
symptomen,symptoms
samantha,samantha
plekje,place
bemoeien,interfere
kern,core
b.,b.
behandelt,treats
bagage,luggage
gehele,whole
bay,bay
castle,castle
voorgesteld,proposed
jasje,jacket
begrip,understanding
sowieso,anyway
braaf,Well behaved
opsluiten,lock up
gij,thou
misverstand,misunderstanding
damon,damon
laarzen,boots
dutch,dutch
uitgevoerd,executed
borg,deposit
doodsoorzaak,cause of death
football,football
bevrijd,liberated
gewoonte,habit
nederlandse,Dutch
cirkel,circle
moordwapen,murder weapon
telefoons,Phones
boeren,farmers
gerucht,rumor
bijten,to bite
stone,stone
explosieven,explosives
motoren,engines
miranda,miranda
opzetten,Setting up
trekker,tractor
vermoed,suspect
von,von
internationale,International
lesje,lesson
blue,blue
wegkomen,getting away
flikker,fagot
collins,collins
craig,craig
lager,lower
schoppen,kick
fans,fans
opereren,to operate
borrel,a drink
noemden,named
vanessa,vanessa
seth,seth
kok,cook
dozen,Boxes
hoeren,harlots
broodje,sandwich
zingt,sings
dieper,lower
halloween,halloween
diego,diego
toestel,appliance
happy,happy
belangrijks,important
hogere,higher
stevig,firm
hoeveelheid,quantity
waaraan,to which
hufter,hufter
ontworpen,designed
dankjewel,thank you
mamma,mum
rots,rock
boer,farmer
buurman,neighbour
bouw,construction
versieren,decorate
trevor,trevor
ontploffen,explode
ochtends,morning
make-up,makeup
dumpen,to dump
gisterenavond,yesterday evening
gevuld,stuffed
klacht,complaint
bestond,existed
dodelijke,deadly
strategie,strategy
volhouden,persevere
begaan,to commit
das,tie
informant,informer
verwerken,process
trouwt,married
halt,stop
auditie,audition
randy,randy
lijdt,suffer
canada,Canada
draad,wire
ertoe,committed
south,south
uitgeput,exhausted
pikken,peck
ellie,ellie
ruimen,reaming
inzet,effort
haren,hairs
slaaf,slave
tara,tara
schreeuw,cry
koninklijke,royal
lage,low
liepen,walked
bewerkt,edited
concentreer,concentrate
zaal,room
jarig,birthday
grapjes,jokes
piano,piano
finn,finn
ontwikkeld,developed
ronnie,ronnie
l.a.,la.
kou,cold
vaardigheden,skills
gestraft,punished
omdraaien,turn around
besmet,contaminated
spoedig,soon
beurs,scholarship
schietpartij,shooting
opblazen,to blow up
up,up
vergiftigd,poisoned
leerling,pupil
algemeen,general
zonen,sons
ongemakkelijk,uncomfortable
indien,in the event that
prooi,prey
bevindt,is
aankomt,arrives
uitgang,Exit
jongedame,young lady
goedkope,cheap
bewaking,security
franklin,franklin
by,by
huil,cry
kurt,kurt
lauren,lauren
barney,barney
klimmen,to climb
november,November
uitkomt,opens
spelers,players
bijt,bites
schreeuwde,shouted
professionele,professional
bestanden,files
joan,joan
voordeur,front door
slaven,slave
dana,dana
regelmatig,regularly
mysterieuze,mysterious
doorgeven,pass around
modder,mud
ned,ned
kroon,Crown
maffia,mafia
functie,function
verward,confused
veranderingen,changes
sectie,section
vreugde,joy
serieuze,serious
nuchter,sober
typisch,typical
rechtszaal,courtroom
overdreven,overdone
beu,sick of
buitenaardse,alien
vergelijken,compare
gabriel,gabriel
nagels,nails
neal,neal
melissa,melissa
mel,mel
louise,louise
telefoonnummer,telephone number
snij,intersection
rory,rory
droomde,dreamed
zeep,soap
accent,accent
gefaald,failed
drieën,three
werknemers,employees
krachtig,powerful
cliënten,clients
geneukt,fucked
bronnen,sources
zelden,rarely
falen,to fail
congres,Congress
verlof,leave of absence
stefan,stefan
secretaresse,secretary
schouders,shoulders
that,That
christopher,christopher
afleiding,diversion
schakelen,switch
gestoorde,impaired
jungle,jungle
juwelen,jewellery
felix,felix
riem,Belt
geleefd,lived
oproepen,call
schoen,shoe
colin,colin
opgevallen,noticed
phoebe,Phoebe
herhalen,to repeat
relax,relax
exact,exact
enge,scary
caesar,Caesar
alison,alison
avenue,avenue
troost,consolation
aangeklaagd,indicted
shaw,shaw
verre,distant
hakken,Heels
gewapende,armed
oktober,October
uniek,unique
professioneel,professional
recente,recent
duw,push
cocaïne,cocaine
opsporen,track down
lek,leak
ralph,ralph
cellen,cells
teams,teams
allemachtig,good gracious
kenden,knew
voetbal,football
achternaam,last name
levenslang,lifetime
defensie,defence
bond,federation
turner,turner
curtis,curtis
earl,earl
afghanistan,afghanistan
opent,opens
parkeerplaats,parking spot
grazen,graze
ambassade,embassy
verdragen,endure
simpson,simpson
bloem,flower
vrijwillig,voluntary
geobsedeerd,obsessed
pierce,pierce
pleegde,committed
bloedt,bleeds
lets,Latvian
regelt,arranges
aanvaard,accepted
kalmeren,to calm down
hersteld,restored
veronica,veronica
tijger,Tiger
monsieur,monsieur
overeind,up
karl,karl
klop,knock
wenst,desired
brooke,brooke
stille,silent
spaans,Spanish
terugkwam,returned
pet,cap
bud,bud
kleintje,Shorty
kwartier,quarter
amerikaans,American
rita,rita
doorgaat,continues
verblijf,residence
script,script
sandra,sandra
chase,chase
innemen,occupy
tekort,shortage
ritje,ride
porno,porn
vrouwtje,female
tof,cool
streng,strict
grootmoeder,grandmother
britten,british
clown,clown
loyaliteit,loyalty
ln,ln
zweet,sweat
cultuur,culture
tiener,teen
wijf,woman
doorstaan,to endure
gina,gina
tracy,tracy
drijven,float
plots,suddenly
verhouding,ratio
geladen,loaded
totale,overall
fransen,french
respecteren,to respect
doorzocht,searched
beledigd,offended
gebeten,bitten
verstop,hide
coördinaten,coordinates
complete,complete
beleid,policy
detail,detail
wallace,wallace
apparatuur,equipment
achterhalen,track down
voortdurend,constantly
scholen,schools
traceren,tracking
praktijk,practice
bewijsmateriaal,evidence
smeris,cop
seksueel,sexual
klappen,clap
keken,watched
verstaan,understand
troon,throne
elkaars,each other's
verrassen,to surprise
bedank,thank
kwijtgeraakt,lost
warren,warren
liefst,up
for,for
se,se
bevolking,population
verbeteren,improve
trauma,trauma
elektrische,electrical
cowboy,cowboy
engelen,angels
stuart,stuart
bitch,bitch
salaris,salary
voortaan,from now on
bruin,brown
emotionele,emotional
blank,White
lamp,lamp
district,district
vermoorde,murdered
arrest,arrest
bishop,bishop
elliot,elliot
stoer,cool
verklaar,declare
banen,jobs
lente,spring
palmer,palmer
geniaal,ingenious
beëindigen,to end
achteraan,at the back
dekken,cover
lake,lake
onbeleefd,rude
bestand,file
machines,machinery
radar,radar
anderson,anderson
extreem,extreme
ingebroken,broke into
militair,military
gebruikten,used
morgens,morning
getuigenis,testimony
bod,offer
gebakken,fried
stapel,pile
jen,jen
misselijk,nauseous
front,front
bingo,bingo
wolven,wolves
plaat,plate
rob,seal
paus,Pope
overdag,during the day
sandy,sandy
beschuldigen,to blame
lex,lex
getest,tested
treffen,take
succesvol,successful
opening,opening
terrorist,terrorist
dale,dale
heksen,witches
politiebureau,police station
beroven,to rob
schaal,Scale
reageerde,responded
ontsnapte,escaped
verschijnen,to appear
janet,janet
maart,March
nicky,nicky
insecten,insects
schok,shock
zeldzaam,rare
sydney,sydney
ford,ford
seattle,seattle
kritiek,criticism
smeken,to beg
put,well
superman,superman
ontbreekt,is missing
vietnam,Vietnam
bijeen,together
besparen,save
naaien,sew
offer,sacrifice
mia,mia
naomi,naomi
autopsie,autopsy
manny,manny
zowat,about
sebastian,sebastian
eve,eve
verse,fresh
zwaartekracht,gravity
vanwaar,whence
stevie,stevie
helm,helmet
jill,Jill
gesneden,sliced
sue,sue
regent,is raining
verhoor,hearing
riskant,risky
dieven,thieves
leerlingen,pupils
natalie,natalie
inzetten,Bet
opstand,rising
schild,shield
sukkels,losers
zinloos,meaningless
versta,reasonable
mannelijke,male
verkiezingen,elections
fysiek,physical
paradijs,paradise
actrice,actress
jager,Hunter
leiders,leaders
katherine,katherine
staf,staff
aanklagen,to sue
toezicht,oversight
geluisterd,listened
lichte,light
activiteiten,activities
nutteloos,useless
apen,monkeys
moskou,Moscow
sokken,socks
opgezet,launched
bailey,bailey
onzichtbaar,invisible
echo,echo
wonderen,wonders
luid,loud
straling,radiation
jenna,jenna
beseffen,realize
nichtje,niece
boeien,shackles
behoort,belongs
charmant,charming
planeten,planets
daag,bye
verslaafd,addicted
voorkeur,preference
genaaid,sewn
vredesnaam,hell
kwade,evil
brandon,brandon
noodzakelijk,necessary
vic,vic
gebeden,prayers
tovenaar,magician
prijzen,Prices
gemene,vicious
le,le
ontwikkelen,develop
boyd,boyd
ademt,breathe
stapte,stepped
technische,technical
dawson,dawson
praktisch,practical
circus,circus
ongeval,accident
teruggeven,return
protocol,protocol
schut,bracts
biologische,organic
duidelijkheid,clearness
rondje,round
checken,check
ai,ai
doordat,because
blair,blair
bruine,brown
klaarmaken,prepare
leed,sorrow
marge,margin
schijn,appearance
brooklyn,brooklyn
infectie,infection
zack,zack
dagelijks,daily
voert,conducts
mislukt,failed
duits,German
stapt,steps
daarnet,just now
bedekt,covered
becky,becky
opwindend,exciting
zogenaamde,so-called
baker,nurse
ogenblikje,just a moment
amber,amber
autoriteiten,authorities
medicatie,medication
ontploft,explodes
contacten,contacts
operaties,operations
manhattan,Manhattan
raketten,missiles
prioriteit,priority
special,special
intelligent,intelligent
lawrence,lawrence
therapeut,therapist
huilt,howls
koper,copper
vervloekt,accursed
tegenstander,opponent
au,au
satelliet,satellite
afnemen,decrease
uitleg,explanation
kofferbak,trunk
fascinerend,fascinating
grand,grand
service,service
schuilplaats,hideout
schilderen,Paint
mekaar,eachother
boekje,booklet
hope,hope
kruipen,to crawl
tempo,pace
depressief,depressed
huisje,cottage
cameron,cameron
shock,shock
joodse,Jewish
afgeleid,distracted
product,product
passagiers,passengers
aanpassen,To adjust
paranoïde,paranoid
uitmaakt,part
ongetwijfeld,doubtless
aankwam,arrived
overlevenden,survivors
bestemming,destination
gewelddadig,violent
winkelcentrum,mall
doyle,doyle
sparen,save
spreuk,saying
papierwerk,paperwork
burke,burke
tandarts,dentist
analyse,analysis
menigte,crowd
baard,beard
oppas,babysit
goeiemorgen,good morning
ceremonie,ceremony
omgekomen,killed
bakken,baking
kennedy,kennedy
officieren,officers
verknald,messed up
vrijwel,almost
hanna,hanna
vergif,poison
mariniers,marines
scan,scan
tenen,toes
tegelijkertijd,at the same time
gene,gene
beschrijven,describe
daphne,daphne
beach,beach
shawn,shawn
east,east
eenzame,lonely
chips,potato chips
grootte,size
freddy,freddy
verrot,rotten
gezonde,healthy
luxe,luxury
pijp,pipe
caleb,caleb
duncan,duncan
afgenomen,decreased
nikki,nikki
huilde,cried
vampiers,vampires
speelden,played
am,am
bekijkt,viewing
veertig,forty
terugkeer,return
oprecht,sincerely
maten,sizes
gelegen,situated
verzekeren,to ensure
vergunning,permit
geschorst,suspended
werelden,worlds
geleend,borrowed
alvast,already
pil,pill
beschermde,protected
oppassen,beware
egoïstisch,selfish
serena,serena
uitnodigen,to invite
nucleaire,nuclear
verklaard,explained
winston,winston
ofzo,something
minuutje,minute
uitstappen,to get off
your,your
dadelijk,immediately
noord,north
vastgebonden,strapped
graham,graham
woody,woody
italiaanse,Italian
eikels,acorns
hunter,hunter
gijzelaars,hostages
mazzel,luck
blinde,ghost
lost,solves
lijkschouwer,coroner
naald,needle
vreemden,strangers
koeien,cows
pan,pan
heilig,holy
sterkste,strongest
leon,leon
lukte,succeeded
wachtwoord,password
wyatt,wyatt
patty,patty
instinct,instinct
harrison,harrison
beperkt,limited
hamer,hammer
bewaken,to guard
slaag,beatings
adams,adams
leeuw,lion
wisselen,exchange
metaal,metal
creditcard,credit card
jarenlang,years
troy,troy
staal,steel
chemische,chemical
x,X
zeuren,whine
sector,sector
vreemds,strange
rondlopen,walk around
rosie,rosie
gênant,embarrassing
acties,actions
tuig,rig
genoten,enjoyed
toast,toast
getroffen,affected
zach,zach
herinnerde,recalled
reeds,already
tegenstelling,opposition
gekken,crazy
transport,transport
communiceren,to communicate
koppig,stubbornly
benny,benny
clyde,clyde
deken,blanket
doelen,goals
hobby,hobby
lening,loan
schei,separators
vroege,early
rebellen,rebels
natie,nation
figuur,figure
nakijken,check
buck,buck
redding,rescue
kirk,kirk
alhoewel,although
verbazingwekkend,astonishing
kira,kira
beschouw,consider
bell,bell
atmosfeer,atmosphere
lachte,laughed
id,id
twijfelen,doubt
examen,exam
aantrekken,attract
jagers,hunters
kalkoen,Turkey
huwelijksreis,honeymoon
elektriciteit,electricity
marco,marco
steeg,lane
wodka,vodka
warmte,Warmth
verdere,further
kwaliteit,quality
uitstekende,excellent
be,be
rotsen,rocks
watson,watson
tragedie,tragedy
haley,haley
doorgebracht,spent
pat,pat
politieman,police officer
simply,simply
koppel,couple
tumor,tumor
appel,Apple
jan,Jan
christine,christine
treden,step
wolken,clouds
donald,donald
gevlucht,escaped
stam,tribe
straal,Ray
liedjes,songs
dwong,forced
poten,legs
afvragen,questioning
uitgevonden,invented
gitaar,guitar
verzin,countersink
terugbellen,call back
kletsen,gossip
december,December
uitzondering,exception
plaatselijke,local
trui,sweater
organiseren,to organize
compliment,compliment
minnaar,lover
enterprise,enterprise
kudde,herd
hierna,after this
neuk,fuck
nora,nora
adviseur,counselor
em,em
opgehaald,picked up
zesde,sixth
aankan,can handle
muis,mouse
lieveling,Darling
respecteer,respect
spieren,muscles
haak,hook
aangetrokken,attracted
violet,violet
world,world
wijsheid,wisdom
herstel,recovery
nachtmerries,nightmares
connectie,connection
cam,cam
gehoopt,hoped
ticket,ticket
eenvoudige,simple
blanken,whites
harten,hearts
verzorgen,take care of
gedicht,poem
inzien,see
freddie,freddie
kap,cap
knal,pop
intussen,Meanwhile
kleinzoon,grandson
verzetten,move
jaagt,hunting
grey,gray
eis,requirement
buitenland,abroad
ongeacht,regardless of
g,g
krijt,chalk
oven,oven
gps,gps
januari,January
benjamin,Benjamin
roos,rose
leuks,fun
denise,denise
zachte,soft
douglas,douglas
air,air
grondig,thoroughly
bestuurder,driver
vallei,valley
aanvaarden,accept
heden,present day
hieraan,thereto
achtervolgen,Chase
database,database
weddenschap,bet
dc,dc
australië,Australia
achterlijk,retarded
vereerd,honored
receptie,front desk
stoort,bothers
jessie,jessie
holmes,holmes
menu,menu
opende,opened
klere,fucking
klooster,monastery
oogje,eye
voorstelling,representation
gestaan,been
barnes,barnes
gebeurtenis,event
hoofden,heads
balans,balance
uitspraak,statement
l,l
logeren,stay
schrik,fright
medewerkers,Staff members
times,times
tatoeage,tattoo
visioen,vision
dealer,agent
nieuwste,newest
dekmantel,cloak
scheppen,create
guy,guy
overtuigend,convincingly
specifiek,specific
stark,stark
knopen,knot
day,day
ranch,ranch
boter,butter
golven,waves
belasting,tax
ridder,knight
tanks,tanks
bezoekers,visitors
waaronder,among which
gewoond,lived
speciaals,special
mick,mick
may,may
diploma,diploma
liter,liter
ontwikkeling,development
wandeling,walk
handboeien,handcuffs
zielige,pathetic
inwoners,inhabitants
out,out
stoere,tough
lance,lance
rechterhand,right
geluiden,sounds
achterdeur,backdoor
mode,fashion
afspraken,appointments
groepen,groups
teleur,disappoints
behandel,treatment
banken,banks
hecht,close
springt,jumps
rosco,rosco
blonde,blonde
ex-vrouw,ex-wife
unieke,unique
litteken,scar
tapijt,carpet
kunstenaar,artist
flessen,bottles
blond,blond
systemen,systems
schurk,villain
claudia,claudia
teleurstellen,disappoint
sullivan,sullivan
termijn,deadline
eindigde,ended up
beschrijving,description
onderschat,underestimated
kloten,balls
slangen,snakes
nader,further
rent,rent
gebieden,areas
morris,morris
alpha,alpha
publieke,public
maatschappij,society
opletten,pay attention
positieve,positive
vette,oily
romantische,romantic
organen,organs
pierre,pierre
beledigen,to offend
loser,loser
cake,Cake
bestuderen,study
stort,landfill
stalen,steel
robbie,robbie
harvard,harvard
cindy,cindy
varkens,pigs
verberg,hide
drew,drew
spook,ghost
hierop,this
ezel,donkey
jongeren,youth
geïdentificeerd,identified
diagnose,diagnosis
geroepen,called
kijkje,peek
spijtig,regrettable
duim,thumb
vertelden,told
tientallen,dozens
u.,you.
economie,economy
weerstaan,to resist
gebruikelijke,usual
gigantische,giant
finale,final
kitty,kitty
gezegend,blessed
directe,direct
gewist,deleted
beweren,claim
hechtenis,custody
raadsel,puzzle
langzamer,slower
waardeloze,worthless
spionnen,spies
piper,piper
stoelen,chairs
beschaving,civilization
erna,thereafter
bedriegen,to cheat
foute,false
oranje,Orange
verbind,connect
wijk,neighbourhood
traag,slow
eeuwigheid,eternity
eerlijkheid,honesty
woonkamer,living room
hot,hot
bereiden,prepare
vreemdeling,stranger
goedgekeurd,approved
serveerster,waitress
fysieke,physical
dappere,brave
thompson,thompson
omkleden,get changed
sire,Sire
haai,shark
klaus,klaus
ademhalen,breathe
zakenman,businessman
geopereerd,had surgery
grijze,gray
daten,to date
kwijtraken,lose
lengte,length
vereist,necessary
lijnen,lines
houston,houston
isaac,isaac
ontwerp,design
betrekken,involve
ongewoon,unusually
elders,elsewhere
duister,dark
bepaalt,determines
zilveren,silver
ondervraagd,questioned
handdoek,towel
expres,deliberately
luchthaven,airport
coke,coke
lerares,female teacher
origineel,original
dosis,dose
e-mails,Emails
machtig,mighty
voegen,joint
mietje,sissy
gekust,kissed
inhoud,content
ego,ego
nare,nasty
waardevol,valuable
voorkant,front side
hopeloos,hopeless
afgemaakt,finished
avondeten,supper
uiterste,extreme
spaanse,Spanish
realiseer,realize
lindsay,lindsay
geel,yellow
bewaakt,monitors
negeer,Ignore
snor,Moustache
eed,oath
klopte,beat
academie,academy
afzetten,drop off
gewassen,crops
verlopen,expired
voorouders,ancestors
dreiging,threat
linker,left
tucker,tucker
